risk_id,risk,linked_asset,threat_actor,attack_path_ref,likelihood(1-5),impact(1-5),inherent_score,existing_controls,control_gap,treatment,residual_likelihood,residual_impact,residual_score,owner,nist_csf_2.0,cis_v8,review_cadence,status
R-01,Engineer/admin identity compromised via phishing + MFA fatigue leading to cloud access,AST-007;AST-002,SCATTERED SABLE,Tree-A,4,5,20,"MFA enabled; SSO",No phishing-resistant MFA; no impossible-travel/MFA-fatigue detection,Mitigate: FIDO2 + conditional access + identity detections,2,5,10,IT/Sec,PR.AA / DE.CM,6;5,Quarterly,Open
R-02,IAM privilege escalation in prod AWS via over-broad OIDC/role,AST-002,SCATTERED SABLE,Tree-A,3,5,15,"CloudTrail on",Over-privileged roles; no SCP guardrails; no priv-esc detection,Mitigate: least-priv roles + SCP + CloudTrail detections,2,5,10,Platform Eng,PR.AA / ID.RA,3;6,Quarterly,Open
R-03,Cardholder/PII exfiltration via API IDOR / SQLi,AST-003;AST-004;AST-009,SCATTERED SABLE,Tree-B,4,5,20,"TLS; some validation",No object-level authz tests; no SQLi/enumeration detection,Mitigate: fix authz + SAST/DAST + API abuse detections,2,5,10,Product Eng,PR.PS / DE.CM,16;8,Quarterly,Open
R-04,Payment-signing key or secret exposed (in code/logs/Secrets misconfig),AST-001;AST-011,SCATTERED SABLE,Tree-A,3,5,15,"KMS-backed",Secrets in code/history; no secret-access alerting,Mitigate: secret scanning in CI + access alerting + rotation,2,5,10,Platform Eng,PR.DS / DE.CM,3;16,Quarterly,Open
R-05,Supply-chain compromise via malicious/vulnerable dependency reaching prod,AST-018;AST-005,Supply-chain actor,Tree-A,3,5,15,None,No SCA/SBOM; no pin/provenance; no build detections,Mitigate: pip-audit/Trivy + SBOM + pinning + CI gate,2,4,8,DevOps,ID.RA / PR.PS,16;7,Quarterly,Open
R-06,Public/misconfigured S3 bucket exposes statements/backups,AST-010;AST-016,Opportunistic/eCrime,Tree-B,3,4,12,None documented,No IaC scanning; no public-access detection,Mitigate: Checkov gate + Block Public Access + CloudTrail detection,1,4,4,Platform Eng,PR.DS / DE.CM,3;3,Quarterly,Open
R-07,BEC / invoice fraud via mailbox takeover + forwarding rule,AST-013;AST-020,BEC crew,Tree-C,4,4,16,"MFA",No mailbox-rule/anomalous-login detection; no anti-BEC policy,Mitigate: mail-rule detection + finance dual-control + training,2,4,8,IT/Sec,DE.CM / PR.AT,9;14,Quarterly,Open
R-08,Credential stuffing / carding abuse of the payments API,AST-004,Carding bots,Tree-B,5,3,15,"Some rate limiting",No velocity/abuse detection; no WAF rules,Mitigate: rate-limit + WAF + abuse detections,3,3,9,Product Eng,DE.CM / PR.PS,13;9,Quarterly,Open
R-09,Prompt injection against LLM support copilot exposes data or triggers unsafe tool use,AST-019,eCrime/opportunistic,Tree-B,3,4,12,None,No input/output filtering; tool permissions unscoped,Mitigate: input/output guards + scoped tools + logging + detection,2,3,6,Product Eng,PR.PS / DE.CM,16;4,Quarterly,Open
R-10,Malicious/negligent insider bulk-exports customer data,AST-009;AST-003,Insider,Tree-B,2,5,10,"Least-priv (partial)",No bulk-access/exfil detection; broad access,Mitigate: access review + bulk-export detection + DLP concepts,1,5,5,CISO,PR.AA / DE.CM,3;14,Quarterly,Open
R-11,Endpoint compromise enabling session-token theft (LotL / infostealer),AST-012;AST-007,SCATTERED SABLE,Tree-A,3,4,12,"Disk encryption",No endpoint telemetry/EDR; no LotL detection,Mitigate: Sysmon+PS logging + endpoint detections,2,4,8,IT/Sec,DE.CM / PR.PS,10;8,Quarterly,Open
R-12,Loss of log/telemetry integrity or availability blinds IR,AST-015,Any,All,2,4,8,None,No retention/tamper-evidence/backup of logs,Mitigate: retention + integrity + backup of security data,1,4,4,Sec,PR.DS / DE.CM,8;8,Semiannual,Open
